m,r,d,seed,n_recover,n_lib,dt,tot_iters
5,2,2,0,109,126,15.1115140914917,2475
5,2,2,1,111,126,13.169939756393433,2100
5,2,2,2,114,126,49.807005882263184,10925
5,2,2,3,106,126,15.368858814239502,2475
5,2,2,4,106,126,11.941622972488403,1825
5,2,2,5,118,126,11.025075674057007,1650
5,2,2,6,112,126,53.222641944885254,12150
5,2,2,7,103,126,33.61788010597229,6975
5,2,2,8,111,126,21.043982982635498,3875
5,2,2,9,115,126,20.420103311538696,4225
6,2,2,0,154,210,32.52102303504944,1325
6,2,2,1,177,210,103.96506786346436,7225
6,2,2,2,181,210,145.47992062568665,11125
6,2,2,3,158,210,39.24898028373718,1825
6,2,2,4,160,210,57.36369514465332,3350
6,2,2,5,167,210,35.82361125946045,1625
6,2,2,6,180,210,81.50476861000061,5250
6,2,2,7,168,210,126.72175216674805,9150
6,2,2,8,173,210,116.46021676063538,8875
6,2,2,9,171,210,93.71602940559387,6750
7,2,2,0,238,330,84.79805707931519,1000
7,2,2,1,257,330,266.727502822876,6525
7,2,2,2,239,330,155.21048736572266,3150
7,2,2,3,257,330,122.21616125106812,1825
7,2,2,4,165,330,327.6733236312866,7950
7,2,2,5,244,330,100.34553241729736,1225
7,2,2,6,228,330,501.9712710380554,14425
7,2,2,7,216,330,187.6407322883606,3825
7,2,2,8,225,330,298.98476457595825,7925
7,2,2,9,215,330,112.6122374534607,1950
8,2,2,0,269,495,309.9374701976776,1275
8,2,2,1,297,495,938.6967089176178,9700
8,2,2,2,315,495,476.2056038379669,3575
8,2,2,3,298,495,311.0839924812317,1150
8,2,2,4,237,495,347.3591649532318,1425
8,2,2,5,318,495,388.25215911865234,2125
8,2,2,6,259,495,747.3382723331451,6375
8,2,2,7,290,495,295.4146604537964,1125
8,2,2,8,290,495,466.41850996017456,3450
8,2,2,9,315,495,390.96849274635315,2850
9,2,2,0,363,715,923.6742107868195,1425
9,2,2,1,428,715,2079.6389112472534,8025
9,2,2,2,388,715,876.0702607631683,1250
9,2,2,3,377,715,938.7106149196625,1325
9,2,2,4,216,715,5130.05074262619,22500
9,2,2,5,412,715,878.0940625667572,1250
9,2,2,6,316,715,2039.640248298645,7600
9,2,2,7,299,715,1696.045044183731,5375
9,2,2,8,364,715,955.4848821163177,2125
9,2,2,9,427,715,787.5650606155396,1525
10,2,2,0,431,1001,4391.242010116577,5350
10,2,2,1,432,1001,4566.468197822571,7000
10,2,2,2,431,1001,2266.6818063259125,1350
10,2,2,3,388,1001,11922.790563344955,25000
10,2,2,4,356,1001,10817.345690011978,21575
10,2,2,5,456,1001,2752.3851919174194,2175
10,2,2,6,381,1001,5291.534261226654,8500
10,2,2,7,398,1001,6584.068404197693,10900
10,2,2,8,421,1001,3663.5518820285797,4775
10,2,2,9,431,1001,3732.4928522109985,4800
